Precursor,Sintering_Time_Hours,Atmosphere,Solvent,Discharge_Capacity_mAh_g
Li2S,24.0,Ar,DME,200.0
Sodium Citrate,1.0,Air,Deionized Water,200.0
LiFePO4,0.25,Air,Deionized Water,200.0
GO,0.0,Ar,Ethylene Glycol,200.0
LiFSI,12.0,Ar,acetone,200.0
BWBYs,0.33,N2,Deionized Water,197.0
Li2CO3,6.0,N2,Deionized Water,197.0
oxidized CNT[38],1.0,Ar,Deionized Water,196.0
HNO3,0.75,Ar,Deionized Water,195.0
Fe,2.0,Reducing (H2),Deionized Water,192.0
tBHMA,24.0,Air,THF,190.0
LiClO4,24.0,Ar,acetonitrile,190.0
CL,6.0,Ar,THF,190.0
sugarcane bagasse,0.08,N2,acetone,190.0
L-Ascorbic acid,1.0,Air,Deionized Water,189.1
amorphous SiO2 powder,5.0,Ar,Deionized Water,185.0
LiH2PO4,10.0,Ar,acetone,185.0
Ti(C4H9O)4,10.0,Ar,Deionized Water,185.0
amorphous iron phosphate,0.5,N2,Ethylene Glycol,185.0
C6H12O6.6H2O,12.0,Air,Deionized Water,185.0
NH4H2PO4,15.0,Reducing (H2),Deionized Water,184.0
Li2CO3,4.0,Air,Ethanol,184.0
CA,24.0,Ar,DMF,178.0
CH3COOLi,4.0,N2,Deionized Water,177.0
citric acid,4.0,N2,Deionized Water,177.0
V2O5,2.0,Ar,DMF,176.0
NH4H2PO4,8.0,Reducing (H2),Deionized Water,175.8
CMC,3.0,Reducing (H2),Deionized Water,175.0
bulk Sb,1.0,Ar,NMP,175.0
FeSO4,5.0,N2,Deionized Water,175.0
lactose,2.0,Ar,acetone,175.0
Li2CO3,24.0,N2,acetone,175.0
DABCO,0.0,N2,Deionized Water,175.0
PAN,12.0,Vacuum,DMF,175.0
H3PO4,6.0,Ar,Deionized Water,174.0
Li2CO3,0.08,Ar,acetone,174.0
citric acid,24.0,N2,Deionized Water,174.0
KH2PO4,0.5,Air,Ethylene Glycol,173.8
Li2CO3,6.0,Air,acetone,172.0
CP,2.0,N2,Deionized Water,171.0
H3PO4,5.0,Ar,Deionized Water,171.0
Li2CO3,24.0,Air,Deionized Water,171.0
LiH2PO4,8.0,Reducing (H2),Deionized Water,171.0
FeC2O4,10.0,N2,Ethanol,171.0
CTAB,0.5,Reducing (H2),Ethanol,171.0
LiMnPO4,1.0,Ar,Deionized Water,171.0
DMAP,48.0,Air,DMF,170.7
LiTFSI,48.0,Vacuum,NMP,170.7
IB,12.0,Air,THF,170.7
VEC,3.0,N2,toluene,170.7
DCC,48.0,Air,DMF,170.7
BA,2.0,Ar,EMC,170.6
