Base,Ligand,Solvent,Concentration_M,Temp_C,Yield
CsOPiv,X-Phos,DMAc,0.1530,90,27.79
KOAc,PPh2Me,BuOAc,0.0570,90,0.0
KOAc,PPh3,BuOAc,0.1530,90,1.39
KOPiv,CgMe-PPh,BuOAc,0.1530,90,22.65
CsOAc,JackiePhos,DMAc,0.0570,105,71.97
CsOPiv,PPh2Me,BuOAc,0.1000,90,0.0
CsOPiv,X-Phos,DMAc,0.1000,105,29.16
KOAc,PPh3,p-Xylene,0.1530,120,5.22
KOAc,CgMe-PPh,DMAc,0.1000,105,80.38
CsOPiv,tBPh-CPhos,p-Xylene,0.1530,105,29.56
CsOAc,PPhMe2,BuCN,0.1530,90,0.0
CsOPiv,GorlosPhos HBF4,DMAc,0.0570,90,11.07
KOPiv,tBPh-CPhos,BuOAc,0.0570,90,17.9
KOAc,X-Phos,BuCN,0.0570,105,12.54
CsOAc,tBPh-CPhos,DMAc,0.0570,120,66.84
KOPiv,PPh3,DMAc,0.0570,90,46.46
KOAc,PPhtBu2,BuOAc,0.0570,120,0.0
CsOAc,PPhMe2,DMAc,0.1530,120,2.79
CsOAc,GorlosPhos HBF4,BuCN,0.0570,90,21.15
CsOPiv,PPh2Me,BuOAc,0.1530,90,0.0
CsOPiv,tBPh-CPhos,BuOAc,0.0570,120,8.24
KOPiv,X-Phos,p-Xylene,0.0570,90,23.45
CsOPiv,GorlosPhos HBF4,p-Xylene,0.0570,105,12.53
CsOAc,PPh3,BuOAc,0.1530,105,4.2
CsOAc,tBPh-CPhos,BuOAc,0.1000,120,0.0
CsOAc,PPhtBu2,BuOAc,0.1530,120,0.0
CsOPiv,X-Phos,p-Xylene,0.0570,105,39.81
KOPiv,PCy3 HBF4,DMAc,0.0570,90,5.85
CsOAc,PPhMe2,BuCN,0.0570,90,0.0
KOAc,tBPh-CPhos,BuCN,0.1530,90,4.97
KOAc,CgMe-PPh,p-Xylene,0.1000,90,11.95
CsOAc,PPh3,BuOAc,0.0570,90,1.03
KOAc,X-Phos,p-Xylene,0.1000,90,25.5
CsOPiv,PPh2Me,BuCN,0.1530,120,0.0
CsOPiv,CgMe-PPh,DMAc,0.1000,120,83.85
KOAc,PPh2Me,DMAc,0.1530,120,7.5
KOPiv,PPh2Me,p-Xylene,0.1530,105,0.22
CsOAc,JackiePhos,BuCN,0.1530,120,27.41
CsOPiv,BrettPhos,BuOAc,0.1530,120,25.67
CsOAc,JackiePhos,p-Xylene,0.0570,120,6.44
KOAc,P(fur)3,BuOAc,0.1530,90,10.04
CsOPiv,PCy3 HBF4,p-Xylene,0.1530,120,0.83
CsOAc,CgMe-PPh,BuOAc,0.1530,90,31.58
KOAc,PPh3,BuCN,0.1530,105,6.67
KOPiv,PPhMe2,BuCN,0.1000,120,0.0
CsOAc,GorlosPhos HBF4,DMAc,0.1530,90,14.72
CsOPiv,GorlosPhos HBF4,p-Xylene,0.0570,90,0.76
KOAc,P(fur)3,p-Xylene,0.0570,120,4.66
KOPiv,CgMe-PPh,BuCN,0.1000,90,57.18
CsOPiv,PPhMe2,DMAc,0.1530,120,0.0
CsOPiv,tBPh-CPhos,p-Xylene,0.1000,90,31.97
KOAc,tBPh-CPhos,BuOAc,0.1530,120,0.0
KOPiv,PPh2Me,p-Xylene,0.1000,90,0.0
CsOPiv,PPh2Me,DMAc,0.1000,105,4.3
KOAc,PPhtBu2,DMAc,0.0570,120,2.13
KOAc,JackiePhos,p-Xylene,0.0570,120,5.4
CsOPiv,PPh2Me,BuOAc,0.1000,105,0.0
KOAc,JackiePhos,p-Xylene,0.1530,120,7.88
CsOPiv,BrettPhos,p-Xylene,0.0570,120,26.52
KOPiv,PPh2Me,DMAc,0.0570,105,22.92
KOPiv,BrettPhos,p-Xylene,0.0570,105,29.85
KOAc,PPh3,BuOAc,0.1530,105,4.51
CsOPiv,PPhtBu2,DMAc,0.1000,90,0.0
KOPiv,P(fur)3,BuCN,0.1000,105,46.99
CsOAc,PPh2Me,DMAc,0.0570,105,20.41
KOPiv,GorlosPhos HBF4,BuOAc,0.1530,105,13.22
CsOPiv,BrettPhos,BuCN,0.0570,120,42.63
KOAc,X-Phos,p-Xylene,0.0570,120,45.62
KOPiv,PPhtBu2,BuOAc,0.1530,105,0.0
CsOAc,P(fur)3,BuOAc,0.0570,105,14.5
CsOPiv,GorlosPhos HBF4,BuOAc,0.0570,90,11.0
KOPiv,BrettPhos,DMAc,0.1530,90,0.66
CsOAc,PCy3 HBF4,BuCN,0.1000,90,0.0
CsOAc,PCy3 HBF4,DMAc,0.0570,120,35.61
CsOAc,GorlosPhos HBF4,BuCN,0.1000,120,40.61
KOAc,GorlosPhos HBF4,BuCN,0.1530,105,11.6
CsOPiv,BrettPhos,DMAc,0.1000,120,0.0
CsOPiv,PCy3 HBF4,BuCN,0.1530,90,0.0
CsOAc,PCy3 HBF4,p-Xylene,0.1530,105,0.28
KOAc,PPhtBu2,BuOAc,0.1000,105,0.0
